Literal,data1,data2,data3,data4,data5,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Business history review,0007-6805,2044-768X,2,1,Økonomisk-administrative fag,2699,285,30.0,100.0,"[u'http://ld.zdb-services.de/resource/1395-x', u'http://gl.dbpedia.org/resource/Joseph_Schumpeter', u'http://rae2001.rkbexplorer.com/id/resource-Journal-business_history_review:2000', u'http://www.hero.ac.uk/rae/#Journal-business_history_review:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-business_history_review.:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-business_history_review:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-business_history_review:2000', u'http://fr.dbpedia.org/resource/Marcus_Goldman', u'http://wikidata.dbpedia.org/resource/Q15765276', u'http://wikidata.dbpedia.org/resource/Q15765276', u'http://ru.dbpedia.org/resource/\u0412\u0435\u0440\u043e\u043b\u043e\u043c\u043d\u0430\u044f_\u0432\u043e\u0441\u044c\u043c\u0451\u0440\u043a\u0430', u'http://lod.hebis.de/resource/04683145', u'http://dbpedia.org/resource/Traitorous_eight', u'http://wikidata.dbpedia.org/resource/Q15765276', u'http://wikidata.dbpedia.org/resource/Q15765276', u'http://wikidata.dbpedia.org/resource/Q15765276', u'http://wikidata.dbpedia.org/resource/Q15765276', u'http://era.rkbexplorer.com/id/ERAID-36483', u'http://dbpedia.org/resource/Joseph_Schumpeter', u'http://fr.dbpedia.org/resource/Marcus_Goldman']"
California Management Review,0008-1256,2162-8564,2,1,Økonomisk-administrative fag,2297,173,53.0,100.0,"[u'http://dbpedia.org/resource/California_Management_Review', u'http://dbpedia.org/resource/California_Management_Review', u'http://rae2001.rkbexplorer.com/id/resource-Journal-the_california_management_review:1998', u'http://dbpedia.org/resource/Business_game', u'http://www.hero.ac.uk/rae/#Journal-california_management_review:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-california_management_review:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-california_management_review:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-california_management_review:1996', u'http://dbpedia.org/resource/California_Management_Review', u'http://pt.dbpedia.org/resource/Business_game', u'http://dbpedia.org/resource/California_Management_Review', u'http://dbpedia.org/resource/California_Management_Review', u'http://wikidata.dbpedia.org/resource/Q5020678', u'http://dbpedia.org/resource/California_Management_Review', u'http://lod.hebis.de/resource/04737880', u'http://wikidata.dbpedia.org/resource/Q5020678', u'http://pt.dbpedia.org/resource/Business_game', u'http://dbpedia.org/resource/California_Management_Review', u'http://pt.dbpedia.org/resource/Business_game', u'urn:issn:0008-1256']"
Canadian geotechnical journal (Print),0008-3674,1208-6010,1,2,Tekn - Bygg og konstruksjonsteknikk,125,0,0.0,0.0,[]
Carbohydrate Polymers,0144-8617,1879-1344,2,1,"Farmasi, farmakologi og toksikologi",994,132,40.0,100.0,"[u'http://www.hero.ac.uk/rae/#Journal-carbohydrate_polymers:2000', u'http://www.hero.ac.uk/rae/#Journal-carbohydrate_polymers:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-carbohydrate_polymers:1997', u'http://wikidata.dbpedia.org/resource/Q2937928', u'http://fr.dbpedia.org/resource/Carbohydrate_Polymers', u'http://wikidata.dbpedia.org/resource/Q2937928', u'http://era.rkbexplorer.com/id/ERAID-1568', u'http://www.hero.ac.uk/rae/#Journal-carbohydrate_polymers:2000', u'http://lobid.org/resource/ZDB1501516-6', u'http://www.hero.ac.uk/rae/#Journal-carbohydrate_polymers:2000', u'http://lobid.org/resource/TT001538627', u'http://www.wikidata.org/entity/Q2937928', u'http://www.wikidata.org/entity/Q2937928', u'http://www.wikidata.org/entity/Q2937928', u'http://www.wikidata.org/entity/Q2937928', u'http://lod.b3kat.de/title/BV002691720', u'http://lod.hebis.de/resource/06680155', u'http://fr.dbpedia.org/resource/Carbohydrate_Polymers', u'http://ld.zdb-services.de/resource/1501516-6', u'http://rae2001.rkbexplorer.com/id/resource-Journal-carbohydrate_polymers:2000']"
Cement and Concrete Research,0008-8846,1873-3948,1,2,Tekn - Bygg og konstruksjonsteknikk,2433,236,17.0,100.0,"[u'http://www.crystallography.net/cod/6000181.html', u'http://ld.zdb-services.de/resource/120088-4', u'http://ld.zdb-services.de/resource/2012631-1', u'http://dbpedia.org/resource/Template:Infobox_Journal', u'http://eprints.rkbexplorer.com/id/kfupm/journal-781b946a62e2171f0467aac5e0bffa1e', u'http://rae2001.rkbexplorer.com/id/resource-Journal-cement_and_concrete_research,:1998', u'http://www.hero.ac.uk/rae/#Journal-cement_and_concrete_research:1997', u'http://dbpedia.org/resource/Template:Infobox_Journal', u'http://www.hero.ac.uk/rae/#Journal-cement_and_concrete_research:2000', u'http://www.hero.ac.uk/rae/#Journal-cement_and_concrete_research,:1998', u'http://www.hero.ac.uk/rae/#Journal-cement_and_concrete_research:1998', u'http://www.hero.ac.uk/rae/#Journal-cement_and_concrete_research:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-cement_and_concrete_research:1997', u'http://www.hero.ac.uk/rae/#Journal-cement_and_concrete_research:1999', u'http://www.hero.ac.uk/rae/#Journal-cement_and_concrete_research,:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-cement_and_concrete_research:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-cement_and_concrete_research:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-cement_and_concrete_research:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-cement_and_concrete_research,:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-cement_and_concrete_research:1996']"
CIRP - Journal of Manufacturing Science and Technology,1755-5817,1878-0016,1,2,Tekn - Maskinteknikk,455,12,1.0,12.0,"[u'http://ld.zdb-services.de/resource/2457352-8', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#1154561', u'http://lobid.org/resource/ZDB2457352-8', u'http://eprints.soton.ac.uk/id/publication/ext-17555817', u'http://ld.zdb-services.de/resource/2483816-0', u'http://wikidata.dbpedia.org/resource/Q15817614', u'http://www.wikidata.org/entity/Q15817614S6EDD4DA8-103C-46F8-AD81-ED1AC4CFA040', u'http://www.wikidata.org/entity/Q15817614', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#1154579', u'http://lobid.org/resource/ZDB2457352-8', u'http://lodlaundromat.org/.well-known/genid/ed4586d2d49e106e9409d6cc0eeae835#httpx3Ax2Fx2Fwwwx2Ebibsonomyx2Eorgx2Fburstx2Ftagx2FProjectxxbnode112', u'http://lodlaundromat.org/.well-known/genid/ed4586d2d49e106e9409d6cc0eeae835#httpx3Ax2Fx2Fwwwx2Ebibsonomyx2Eorgx2Fburstx2Ftagx2Fevolutionaryxxbnode50']"
Columbia journal of transnational law,0010-1931,2159-1814,2,1,Rettsvitenskap,828,120,10.0,100.0,"[u'http://ld.zdb-services.de/resource/2237964-2', u'http://dbpedia.org/resource/Columbia_Journal_of_Transnational_Law', u'http://wikidata.dbpedia.org/resource/Q5149746', u'http://wikidata.dbpedia.org/resource/Q5149746', u'http://wikidata.dbpedia.org/resource/Q5149746', u'http://lobid.org/resource/HT008946627', u'http://lobid.org/resource/ZDB2237964-2', u'http://lobid.org/resource/HT006063303', u'http://lobid.org/resource/HT006030619', u'http://lobid.org/resource/HT005623984', u'http://lobid.org/resource/HT005945431', u'http://lobid.org/resource/HT005623986', u'http://lobid.org/resource/HT005761457', u'http://lobid.org/resource/HT006063304', u'http://lobid.org/resource/HT007466021', u'http://lod.b3kat.de/title/BV002542773', u'http://www.wikidata.org/entity/Q5149746', u'http://www.wikidata.org/entity/Q5149746', u'http://www.wikidata.org/entity/Q5149746', u'http://dbpedia.org/resource/Columbia_Journal_of_Transnational_Law']"
Columbia Law Review,0010-1958,1945-2268,2,1,Rettsvitenskap,1212,833,23.0,100.0,"[u'http://ld.zdb-services.de/resource/2736068-4', u'http://dbpedia.org/resource/Columbia_Law_Review', u'http://dbpedia.org/resource/Columbia_Law_Review', u'http://wikidata.dbpedia.org/resource/Q5149752', u'http://era.rkbexplorer.com/id/ERAID-33203', u'http://wikidata.dbpedia.org/resource/Q5149752', u'http://wikidata.dbpedia.org/resource/Q5149752', u'http://dbpedia.org/resource/Columbia_Law_Review', u'http://lobid.org/resource/HT005615889', u'http://lobid.org/resource/HT005615919', u'http://lobid.org/resource/HT014475085', u'http://lobid.org/resource/HT006087578', u'http://lobid.org/resource/HT005615928', u'http://lobid.org/resource/HT005977802', u'http://lobid.org/resource/HT006111402', u'http://lobid.org/resource/HT005615855', u'http://lobid.org/resource/HT005615866', u'http://lobid.org/resource/HT005615856', u'http://lobid.org/resource/HT005615865', u'http://lobid.org/resource/HT005615869']"
Combustion Science and Technology,0010-2202,1563-521X,2,1,Tekn - Energi,2585,307,4.0,100.0,"[u'http://ld.zdb-services.de/resource/413476-x', u'http://ld.zdb-services.de/resource/1407239-7', u'http://rae2001.rkbexplorer.com/id/resource-Journal-combustion_science_and_technology:1998', u'http://www.hero.ac.uk/rae/#Journal-combustion_science_and_technology:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-combustion_science_and_technology:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-combustion_science_and_technology:2000', u'http://www.hero.ac.uk/rae/#Journal-combustion_science_and_technology:1996', u'http://www.hero.ac.uk/rae/#Journal-combustion_science_and_technology:1996', u'http://www.hero.ac.uk/rae/#Journal-combustion_science_and_technology:1996', u'http://www.hero.ac.uk/rae/#Journal-combustion_science_and_technology:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-combustion_science_and_technology:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-combustion_science_and_technology:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-combustion_science_and_technology:1998', u'http://lod.hebis.de/resource/04758471', u'http://lod.hebis.de/resource/04758471', u'http://lod.hebis.de/resource/00114647', u'http://wikidata.dbpedia.org/resource/Q15746595', u'http://wikidata.dbpedia.org/resource/Q15746595', u'http://era.rkbexplorer.com/id/ERAID-3871', u'http://www.wikidata.org/entity/Q15746595SFDACEDC2-DAEA-4CEC-A486-91F88D11E3BF']"
Computational materials science,0927-0256,1879-0801,1,2,Tekn - Materialteknologi,1372,393,29.0,100.0,"[u'http://dbpedia.org/resource/Computational_Materials_Science', u'http://ld.zdb-services.de/resource/1134845-8', u'http://ld.zdb-services.de/resource/2014722-3', u'http://dbpedia.org/resource/Computational_Materials_Science', u'http://lodlaundromat.org/.well-known/genid/6d167346faae71f11f7d5e9c54adbc48#node36xxhttpx3Ax2Fx2Feprintsx2Erkbex78plorerx2Ecomx2Fidx2Fbathx2Feprintsx2D2209', u'http://rae2001.rkbexplorer.com/id/resource-Journal-computational_materials_science:1997', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#494977', u'http://www.hero.ac.uk/rae/#Journal-computational_materials_science:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-computational_materials_science:2000', u'http://dbpedia.org/resource/Computational_Materials_Science', u'http://rae2001.rkbexplorer.com/id/resource-Journal-computational_materials_science:2000', u'http://dbpedia.org/resource/Computational_Materials_Science', u'http://dbpedia.org/resource/Computational_Materials_Science', u'http://wikidata.dbpedia.org/resource/Q5157290', u'http://dbpedia.org/resource/Computational_Materials_Science', u'http://dbpedia.org/resource/Computational_Materials_Science', u'http://wikidata.dbpedia.org/resource/Q5157290', u'http://era.rkbexplorer.com/id/ERAID-4885', u'http://dbpedia.org/class/yago/ComputationalMaterialsScience', u'http://lobid.org/resource/HT013415525']"
Constitutional Law Library,1871-4110,,2,1,Rettsvitenskap,4436,9,0.0,9.0,"[u'http://id.loc.gov/authorities/names/n2006003234', u'http://lod.hebis.de/resource/27425613', u'http://ld.zdb-services.de/resource/2626653-2', u'http://ld.zdb-services.de/resource/2221852-X', u'http://lobid.org/resource/HT014772339', u'http://lod.hebis.de/resource/27425613', u'http://lobid.org/resource/HT014772339', u'http://vocab.getty.edu/aat/source/2000076739', u'http://vocab.getty.edu/aat/source/2000076739']"
Construction and Building Materials,0950-0618,1879-0526,1,2,Tekn - Bygg og konstruksjonsteknikk,6816,160,15.0,100.0,"[u'http://ld.zdb-services.de/resource/1380308-6', u'http://rae2001.rkbexplorer.com/id/resource-Journal-construction_and_building_materials:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-construction_and_building_materials:1999', u'http://www.hero.ac.uk/rae/#Journal-construction_and_building_materials:1997', u'http://www.hero.ac.uk/rae/#Journal-construction_and_building_materials:1998', u'http://www.hero.ac.uk/rae/#Journal-construction_and_building_materials:1999', u'http://eprints.rkbexplorer.com/id/bath/journal-a0343670e840c569e8abc753f0819889', u'http://rae2001.rkbexplorer.com/id/resource-Journal-construction_and_building_materials:1998', u'http://wikidata.dbpedia.org/resource/Q15750197', u'http://wikidata.dbpedia.org/resource/Q15750197', u'http://era.rkbexplorer.com/id/ERAID-3470', u'http://lobid.org/resource/ZDB2002804-0', u'http://www.wikidata.org/entity/Q15750197', u'http://www.wikidata.org/entity/Q15750197', u'http://www.wikidata.org/entity/Q15750197', u'http://lod.hebis.de/resource/09132835', u'http://eprints.soton.ac.uk/id/publication/ext-09500618', u'http://rae2001.rkbexplorer.com/id/resource-Journal-construction_and_building_materials:1997', u'http://www.hero.ac.uk/rae/#Journal-construction_and_building_materials:1998', u'http://www.hero.ac.uk/rae/#Journal-construction_and_building_materials:2000']"
Contemporary Educational Psychology,0361-476X,1090-2384,1,2,Pedagogikk og utdanning,1526,148,9.0,100.0,"[u'http://ld.zdb-services.de/resource/1462923-9', u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#55061', u'http://wikidata.dbpedia.org/resource/Q18609690', u'http://wikidata.dbpedia.org/resource/Q15750999', u'http://lod.hebis.de/resource/04745747', u'http://wikidata.dbpedia.org/resource/Q15750999', u'http://era.rkbexplorer.com/id/ERAID-6200', u'http://www.wikidata.org/entity/Q15750999S015636E1-D4A5-4F71-A283-73BA4998FDDF', u'http://lobid.org/resource/TT000911795', u'http://lobid.org/resource/HT006025012', u'http://lobid.org/resource/HT006025012', u'http://lobid.org/resource/ZDB281854-1', u'http://lobid.org/resource/HT006060770', u'http://lobid.org/resource/HT006060770', u'http://lobid.org/resource/HT006093241', u'http://lobid.org/resource/HT006093241', u'http://lobid.org/resource/HT005991738', u'http://lobid.org/resource/HT005991738', u'http://lobid.org/resource/HT006503241', u'http://lobid.org/resource/HT006503241']"
Cornell international law journal,0010-8812,1930-7977,2,1,Rettsvitenskap,766,132,37.0,100.0,"[u'http://dbpedia.org/resource/Cornell_International_Law_Journal', u'http://dbpedia.org/resource/Cornell_International_Law_Journal', u'http://dbpedia.org/resource/Cornell_international_law_journal', u'http://dbpedia.org/resource/Cornell_International_Law_Journal', u'http://dbpedia.org/resource/Cornell_International_Law_Journal', u'http://wikidata.dbpedia.org/resource/Q5171535', u'http://dbpedia.org/resource/Cornell_International_Law_Journal', u'http://dbpedia.org/resource/Cornell_International_Law_Journal', u'http://wikidata.dbpedia.org/resource/Q5171535', u'http://dbpedia.org/resource/Cornell_International_Law_Journal', u'http://lobid.org/resource/HT012917073', u'http://lobid.org/resource/HT013911894', u'http://lobid.org/resource/HT009420792', u'http://lobid.org/resource/HT006020770', u'http://lobid.org/resource/HT014178357', u'http://www.wikidata.org/entity/Q5171535', u'http://www.wikidata.org/entity/Q5171535', u'http://www.wikidata.org/entity/Q5171535', u'http://dbpedia.org/resource/Cornell_international_law_journal', u'http://dbpedia.org/resource/Cornell_international_law_journal']"
Cornell law review,0010-8847,,2,1,Rettsvitenskap,412,121,59.0,100.0,"[u'http://dbpedia.org/resource/Cornell_Law_Review', u'http://dbpedia.org/resource/Cornell_Law_Review', u'http://ld.zdb-services.de/resource/2039070-1', u'http://rae2001.rkbexplorer.com/id/resource-Journal-cornell_law_review:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-cornell_law_review:1997', u'http://www.hero.ac.uk/rae/#Journal-cornell_law_review:1997', u'http://dbpedia.org/resource/Cornell_Law_Review', u'http://dbpedia.org/resource/Cornell_Law_Review', u'http://era.rkbexplorer.com/id/ERAID-33224', u'http://dbpedia.org/class/yago/CornellLawReview', u'http://lobid.org/resource/ZDB217264-1', u'http://lodlaundromat.org/.well-known/genid/3c38f5c76eac252d972c5404ed94f5a1#HT006913444BNode0', u'http://lodlaundromat.org/.well-known/genid/3c38f5c76eac252d972c5404ed94f5a1#HT006913444BNode0', u'http://dbpedia.org/resource/Cornell_Law_Review', u'http://lobid.org/resource/ZDB2039070-1', u'http://www.wikidata.org/entity/Q5171540', u'http://lod.hebis.de/resource/09610457', u'http://lod.hebis.de/resource/06445755', u'http://dbpedia.org/resource/Cornell_Law_Review', u'http://ld.zdb-services.de/resource/2747635-2']"
Corrosion,0010-9312,1938-159X,2,1,Tekn - Materialteknologi,6,35878,32.0,100.0,"[u'http://ld.zdb-services.de/resource/217266-5', u'http://dbpedia.org/resource/Psalm_69:_The_Way_to_Succeed_and_the_Way_to_Suck_Eggs', u'http://cordis.rkbexplorer.com/id/project-4947417', u'http://dbpedia.org/resource/Disorder_(EP)', u'http://dbpedia.org/resource/Doombringer', u'http://dbpedia.org/resource/Elements_of_Corrosion', u'http://dbpedia.org/resource/Category:Corrosion', u'http://dbpedia.org/resource/Corrosion', u'http://lodlaundromat.org/.well-known/genid/0f07daa4dc3c339e6d9a9161dcc31259#genid11xxhttpx3Ax2Fx2Fzaleskax2Edeadjournalx2Ecomx2Fdatax2Ffoaf', u'http://www.rdfabout.com/rdf/usgov/congress/107/bills/h459', u'http://www.rdfabout.com/rdf/usgov/congress/110/bills/s1548', u'http://acm.rkbexplorer.com/id/781007', u'http://rae2001.rkbexplorer.com/id/resource-Journal-corrosion:1999', u'http://sw.opencyc.org/concept/Mx4rwJwGPZwpEbGdrcN5Y29ycA', u'http://sw.opencyc.org/concept/Mx4rwJwGPZwpEbGdrcN5Y29ycA', u'http://sw.opencyc.org/concept/Mx4rwJwGPZwpEbGdrcN5Y29ycA', u'http://sw.opencyc.org/concept/Mx4rwJwGPZwpEbGdrcN5Y29ycA', u'http://sw.opencyc.org/concept/Mx4rwJwGPZwpEbGdrcN5Y29ycA', u'http://sw.opencyc.org/2008/06/10/concept/Mx4rwJwGPZwpEbGdrcN5Y29ycA', u'http://www.morphster.org/obo/obospace/mesh_ABDEGH.go#MESH--H.01.181.529.205']"
Crystal Growth & Design,1528-7483,1528-7505,1,2,Tekn - Materialteknologi,2358,117,60.0,100.0,"[u'http://www.crystallography.net/cod/4500001.html', u'http://www.crystallography.net/cod/4500006.html', u'http://www.crystallography.net/cod/4500008.html', u'http://www.crystallography.net/cod/4500011.html', u'http://www.crystallography.net/cod/9014901.html', u'http://dbpedia.org/resource/Crystal_Growth_&_Design', u'http://dbpedia.org/resource/Crystal_Growth_%26_Design', u'http://eprints.rkbexplorer.com/id/ucl/journal-81e7c05d80ca0c11abddfe8cddc02340', u'http://dbpedia.org/resource/Crystal_Growth_&_Design', u'http://dbpedia.org/resource/Crystal_Growth_&_Design', u'http://wikidata.dbpedia.org/resource/Q3005997', u'http://wikidata.dbpedia.org/resource/Q3005997', u'http://es.dbpedia.org/resource/Crystal_Growth_&_Design', u'http://dbpedia.org/resource/Crystal_Growth_&_Design', u'http://dbpedia.org/resource/Crystal_Growth_&_Design', u'http://wikidata.dbpedia.org/resource/Q3005997', u'http://dbpedia.org/class/yago/CrystalGrowth&Design', u'http://es.dbpedia.org/resource/Crystal_Growth_&_Design', u'http://lobid.org/resource/ZDB2048329-6', u'http://dbpedia.org/resource/Crystal_Growth_&_Design']"
Demography,0070-3370,1533-7790,1,2,Sosiologi,9,197230,0.0,100.0,"[u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#t_pop', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#sd_de_dem', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#sd_de_dem', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#sd_de_dem', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#t_pop', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#t_pop', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#sd_de_dem', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#sd_de_dem', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#t_pop', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#sd_de_dem', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#t_pop', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#t_pop', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#sd_de_dem', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#t_pop', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#t_pop', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#sd_de_dem', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#t_pop', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#sd_de_dem', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#sd_de_dem', u'http://rdfdata.eionet.europa.eu/eurostat/void.rdf#t_pop']"
Deutsch als Fremdsprache,0011-9741,,1,2,Tysk og nederlandsk,2382,20104,12.0,100.0,"[u'http://lobid.org/resource/ZDB562635-3', u'http://lobid.org/resource/HT006484349', u'http://lobid.org/resource/HT001265029', u'http://lobid.org/resource/HT001264036', u'http://lobid.org/resource/HT002253301', u'http://lobid.org/resource/HT011169807', u'http://lobid.org/resource/TT000697629', u'http://lobid.org/resource/HT001263288', u'http://ld.zdb-services.de/resource/220516-6', u'http://ld.zdb-services.de/resource/2309376-6', u'http://ld.zdb-services.de/resource/2552901-8', u'http://ld.zdb-services.de/resource/2676937-2', u'http://ld.zdb-services.de/resource/529652-3', u'http://ld.zdb-services.de/resource/559584-8', u'http://ld.zdb-services.de/resource/619425-4', u'http://ld.zdb-services.de/resource/192527-1', u'http://ld.zdb-services.de/resource/2579488-7', u'http://ld.zdb-services.de/resource/2234549-8', u'http://dbpedia.org/resource/TestDaF', u'http://dbpedia.org/resource/TestDaF-Institut']"
Developments in International Law,0924-5332,,2,1,Rettsvitenskap,4241,128,19.0,100.0,"[u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#682576', u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#683581', u'http://lod.b3kat.de/title/BV003645869', u'http://lod.b3kat.de/title/BV000654507', u'http://ld.zdb-services.de/resource/442149-8', u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#681340', u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#681820', u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#683368', u'http://lobid.org/resource/TT001514019', u'http://lobid.org/resource/HT003358844', u'http://datos.bne.es/resource/bimo0001526964', u'http://id.loc.gov/authorities/names/n83731522', u'http://lobid.org/resource/HT003358844', u'http://lod.b3kat.de/title/BV000382742', u'http://lod.b3kat.de/title/BV000542424', u'http://lod.b3kat.de/title/BV004736961', u'http://lod.b3kat.de/title/BV000341619', u'http://lod.b3kat.de/title/BV008162825', u'http://lod.b3kat.de/title/BV008162934', u'http://lod.b3kat.de/title/BV008423063']"
